City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
324,vadso,70.0744,29.7487,274.24,86,100,5.66,NO,1706492540
325,ketchikan,55.3422,-131.6461,284.41,76,100,4.63,US,1706492541
326,summerside,46.3959,-63.7876,272.22,93,100,1.54,CA,1706492542
327,kachia,9.8667,7.95,292.54,24,0,4.11,NG,1706492543
328,praia da vitoria,38.7333,-27.0667,287.46,76,40,5.11,PT,1706492406
329,abong mbang,3.9833,13.1833,292.45,42,15,1.84,CM,1706492544
330,palikir - national government center,6.9248,158.1611,303.62,70,75,5.66,FM,1706492545
331,ulenje,-8.9333,33.6833,288.38,97,100,0.58,TZ,1706492546
332,novo aripuana,-5.1206,-60.3797,296.42,99,100,1.66,BR,1706492547
333,aljezur,37.3191,-8.8033,287.23,69,100,3.14,PT,1706492548
334,tsiombe,-25.3,45.4833,295.76,83,14,5.55,MG,1706492398
335,turtas,58.9417,69.1325,251.88,100,91,1.37,RU,1706492550
336,puerto gaitan,4.3133,-72.0816,303.14,39,34,3.23,CO,1706492283
337,sorong,-0.8833,131.25,301.25,78,52,2.19,ID,1706492552
338,arkhangel'sk,64.5401,40.5433,271.21,92,100,4.0,RU,1706492553
339,long beach,33.767,-118.1892,296.47,44,0,0.45,US,1706492296
340,jiexiu,37.0244,111.9125,273.75,27,0,1.02,CN,1706492555
341,khandyga,62.6667,135.6,233.44,98,98,0.22,RU,1706492557
342,manay,7.215,126.5397,299.58,86,99,4.35,PH,1706492558
343,villa la angostura,-40.7617,-71.6463,283.04,57,0,2.5,AR,1706492559
344,zaozersk,69.4005,32.4476,274.19,90,100,12.06,RU,1706492560
345,maloh,9.056,122.9851,300.21,67,100,6.27,PH,1706492561
346,menaka,15.9182,2.4022,291.4,17,0,4.72,ML,1706492561
347,morondava,-20.2833,44.2833,297.9,78,8,0.66,MG,1706492562
348,brookings,44.3114,-96.7984,274.47,93,0,3.09,US,1706492563
349,vorgashor,67.5833,63.95,260.16,95,100,5.04,RU,1706492564
350,galle,6.0367,80.217,298.25,88,62,2.48,LK,1706492565
351,puerto princesa,9.7392,118.7353,301.14,69,20,5.14,PH,1706492566
352,jupiter,26.9342,-80.0942,293.18,74,100,6.69,US,1706492567
353,sandnessjoen,66.0217,12.6316,280.44,93,100,20.3,NO,1706492568
354,yuzhno-kurilsk,44.0306,145.8556,273.36,93,89,5.98,RU,1706492363
355,lautoka,-17.6167,177.4667,303.07,62,40,5.14,FJ,1706492570
356,fort st. john,56.2499,-120.8529,278.09,70,40,3.6,CA,1706492432
357,cole harbour,44.6724,-63.4751,273.25,92,100,1.06,CA,1706492449
358,hasaki,35.7333,140.8333,283.31,45,2,6.63,JP,1706492572
359,kerikeri,-35.2268,173.9474,294.77,81,63,5.25,NZ,1706492573
360,puerto ayacucho,5.6639,-67.6236,300.61,64,25,0.89,VE,1706492574
